标题,状态,分类,制定机关,公布日期,施行日期
中华人民共和国反家庭暴力法,有效,法律,,2015-12-27,2016-03-01
河北省反家庭暴力条例,有效,地方法规,,2022-11-29,2023-01-01
吉林省反家庭暴力条例,有效,地方法规,,2020-06-05,2020-08-01
江苏省反家庭暴力条例,有效,地方法规,,2025-01-14,2025-01-14
山东省反家庭暴力条例,有效,地方法规,,2018-11-30,2019-01-01
河南省反家庭暴力条例,有效,地方法规,,2022-08-01,2022-10-01
湖北省反家庭暴力条例,有效,地方法规,,2019-03-29,2019-06-01
贵州省反家庭暴力条例,有效,地方法规,,2019-12-01,2020-03-01
云南省反家庭暴力条例,有效,地方法规,,2020-11-25,2021-03-01
甘肃省反家庭暴力条例,有效,地方法规,,2024-05-30,2024-08-01
青海省反家庭暴力条例,有效,地方法规,,2023-11-29,2024-01-01
大同市预防和制止家庭暴力条例,有效,地方法规,,,
鞍山市预防和制止家庭暴力办法,有效,地方法规,,2008-06-17,
辽宁省预防和制止家庭暴力规定,有效,地方法规,,2005-05-28,
长春市预防和制止家庭暴力条例,有效,地方法规,,2017-08-17,2017-10-01
黑龙江省反家庭暴力条例,有效,地方法规,,2024-01-04,2024-03-01
江苏省反家庭暴力条例,已失效,地方法规,,2021-12-02,2022-03-01
宁波市预防和制止家庭暴力条例,有效,地方法规,,2022-12-30,2023-01-01
浙江省预防和制止家庭暴力条例,有效,地方法规,,2010-09-30,
杭州市预防和制止家庭暴力条例,有效,地方法规,,2010-05-04,
